,squad,Season,tackles,tackles_won,tackles_att_3rd,tackles_def_3rd,tackles_mid_3rd,blocks,interceptions,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,goals_per_90
0,Alavés,201819#,11.84210526,250,0.1177777778,0.5266666667,0.3555555556,12.34210526,6.473684211,es ESP,11,38,13,11,14,39,50,-11,50,1.32,41.1,53.2,-12.1,-0.32,17295,Jonathan Calleri - 9,Fernando Pacheco,1.315789474
1,Amiens,201819#,16.15789474,426,0.1205211726,0.4788273616,0.4006514658,14.39473684,6,fr FRA,15,38,9,11,18,31,52,-21,38,1,35.4,49.8,-14.4,-0.38,11043,Moussa Konaté - 7,Régis Gurtner,1.368421053
2,Amiens,201920#,17.25,321,0.09109730849,0.4741200828,0.4347826087,16.42857143,9.571428571,fr FRA,19,28,4,11,13,31,50,-19,23,0.82,27.4,39.3,-11.9,-0.43,11616,Sehrou Guirassy - 9,Régis Gurtner,1.785714286
3,Angers,201819#,16.71052632,432,0.1181102362,0.5118110236,0.3700787402,14.44736842,9.315789474,fr FRA,13,38,10,16,12,44,49,-5,46,1.21,50.7,47.9,2.8,0.07,11189,Stéphane Bahoken - 11,Ludovic Butelle,1.289473684
4,Angers,201920#,17.71428571,319,0.1350806452,0.4576612903,0.4072580645,14.21428571,8.428571429,fr FRA,11,28,11,6,11,28,33,-5,39,1.39,29.3,28.4,0.9,0.03,9825,Rachid Alioui - 6,Ludovic Butelle,1.178571429
5,Arsenal,201819#,13.60526316,343,0.1334622824,0.4661508704,0.4003868472,12.57894737,7.131578947,eng ENG,5,38,21,7,10,73,51,22,70,1.84,60.1,54.2,5.9,0.15,59899,Pierre-Emerick Aubameyang - 22,Bernd Leno,1.342105263
6,Arsenal,201920#,15.78947368,372,0.1283333333,0.54,0.3316666667,16.13157895,6.394736842,eng ENG,8,38,14,14,10,56,48,8,56,1.47,47,55.3,-8.3,-0.22,47589,Pierre-Emerick Aubameyang - 22,Bernd Leno,1.263157895
7,Aston Villa,201920#,15.94736842,388,0.1204620462,0.5594059406,0.3201320132,19.07894737,6.684210526,eng ENG,17,38,9,8,21,41,67,-26,35,0.92,44.3,67.8,-23.5,-0.62,28505,Jack Grealish - 8,Tom Heaton,1.763157895
8,Atalanta,201819#,17.60526316,440,0.1076233184,0.4947683109,0.3976083707,14.10526316,10.57894737,it ITA,3,38,20,9,9,77,46,31,69,1.82,72.2,41.1,31.1,0.82,18301,Duván Zapata - 23,Pierluigi Gollini,1.210526316
9,Atalanta,201920#,18.47368421,445,0.1353276353,0.4458689459,0.4188034188,15.92105263,6.631578947,it ITA,3,38,23,9,6,98,48,50,78,2.05,83.5,41.3,42.2,1.11,11167,Luis Muriel Duván Zapata - 18,Pierluigi Gollini,1.263157895
10,Athletic Club,201819#,15.36842105,386,0.1318493151,0.5239726027,0.3441780822,14.05263158,8.736842105,es ESP,8,38,13,14,11,41,45,-4,53,1.39,43.4,45.7,-2.3,-0.06,40664,Iñaki Williams - 13,Iago Herrerín,1.184210526
11,Athletic Club,201920#,13.68421053,321,0.1115384615,0.5076923077,0.3807692308,13.86842105,5.894736842,es ESP,11,38,13,12,13,41,38,3,51,1.34,41.5,48.8,-7.3,-0.19,28039,Raúl García - 15,Unai Simón,1
12,Atlético Madrid,201819#,18.84210526,482,0.09078212291,0.5055865922,0.4036312849,13.94736842,8.078947368,es ESP,2,38,22,10,6,55,29,26,76,2,47.3,41.9,5.4,0.14,56216,Antoine Griezmann - 15,Jan Oblak,0.7631578947
13,Augsburg,201819#,13.67647059,301,0.1010752688,0.4817204301,0.4172043011,12.76470588,7.147058824,de GER,15,34,8,8,18,51,71,-20,32,0.94,45.3,61.1,-15.8,-0.46,28623,Alfreð Finnbogason - 10,Gregor Kobel,2.088235294
14,Augsburg,201920#,16.14705882,331,0.1111111111,0.5027322404,0.3861566485,16.88235294,8.323529412,de GER,15,34,9,9,16,45,63,-18,36,1.06,43.1,56.6,-13.5,-0.4,20265,Florian Niederlechner - 13,Tomáš Koubek,1.852941176
15,Barcelona,201819#,13.65789474,349,0.1483622351,0.4238921002,0.4277456647,13.84210526,6.342105263,es ESP,1,38,26,9,3,90,36,54,87,2.29,75.8,45.3,30.5,0.8,76104,Lionel Messi - 36,Marc-André ter Stegen,0.9473684211
16,Barcelona,201920#,14.42105263,369,0.1678832117,0.4124087591,0.4197080292,13.05263158,6.315789474,es ESP,2,38,25,7,6,86,38,48,82,2.16,66.3,38.3,28,0.74,54223,Lionel Messi - 25,Marc-André ter Stegen,1
17,Bayern Munich,201819#,10.64705882,239,0.1740331492,0.4033149171,0.4226519337,10.76470588,4.882352941,de GER,1,34,24,6,4,88,32,56,78,2.29,85.6,27.2,58.4,1.72,75000,Robert Lewandowski - 22,Manuel Neuer,0.9411764706
18,Bayern Munich,201920#,17.38235294,396,0.1827411168,0.3553299492,0.461928934,14.44117647,6.882352941,de GER,1,34,26,4,4,100,32,68,82,2.41,89.5,37.9,51.6,1.52,57353,Robert Lewandowski - 34,Manuel Neuer,0.9411764706
19,Betis,201819#,14.26315789,354,0.1143911439,0.5221402214,0.3634686347,11.60526316,6.342105263,es ESP,10,38,14,8,16,44,52,-8,50,1.32,47.1,49.4,-2.4,-0.06,44525,Giovani Lo Celso - 9,Pau López,1.368421053
20,Betis,201920#,14.05263158,331,0.1104868914,0.5337078652,0.3558052434,14.78947368,5.473684211,es ESP,15,38,10,11,17,48,60,-12,41,1.08,51,54.8,-3.7,-0.1,35969,Loren Morón - 10,Joel Robles,1.578947368
21,Bologna,201819#,14.84210526,356,0.1258865248,0.5283687943,0.3457446809,13.28947368,6.631578947,it ITA,10,38,11,11,16,48,56,-8,44,1.16,46.8,49,-2.2,-0.06,21237,Federico Santander Riccardo Orsolini - 8,Lukasz Skorupski,1.473684211
22,Bologna,201920#,16.28947368,399,0.1276252019,0.4571890145,0.4151857835,17.21052632,6.763157895,it ITA,12,38,12,11,15,52,65,-13,47,1.24,56.9,54.8,2,0.05,15774,Musa Barrow - 9,Łukasz Skorupski,1.710526316
23,Bordeaux,201819#,15.94736842,374,0.102310231,0.4900990099,0.4075907591,12.52631579,6.789473684,fr FRA,14,38,10,11,17,34,42,-8,41,1.08,39.7,53.5,-13.7,-0.36,20838,François Kamano - 10,Benoît Costil,1.105263158
24,Bordeaux,201920#,19.07142857,343,0.1011235955,0.4887640449,0.4101123596,14.85714286,8.071428571,fr FRA,12,28,9,10,9,40,34,6,37,1.32,30,36.9,-6.9,-0.25,23430,Jimmy Briand - 7,Benoît Costil,1.214285714
25,Bournemouth,201819#,12.94736842,303,0.1036585366,0.5508130081,0.3455284553,15.65789474,7.289473684,eng ENG,14,38,13,6,19,56,70,-14,45,1.18,53.3,57.2,-3.9,-0.1,10532,Callum Wilson - 14,Asmir Begovic,1.842105263
26,Bournemouth,201920#,14.71052632,349,0.1073345259,0.4991055456,0.3935599284,18.5,7.578947368,eng ENG,18,38,9,7,22,40,65,-25,34,0.89,44.8,62.3,-17.5,-0.46,7745,Callum Wilson - 8,Aaron Ramsdale,1.710526316
27,Brescia,201920#,15.39473684,353,0.09230769231,0.5282051282,0.3794871795,18.42105263,6.447368421,it ITA,19,38,6,7,25,35,79,-44,25,0.66,43.4,74.5,-31.2,-0.82,10050,Ernesto Torregrossa Alfredo Donnarumma - 7,Jesse Joronen,2.078947368
28,Brest,201920#,19.78571429,356,0.1155234657,0.4837545126,0.4007220217,16.07142857,8.714285714,fr FRA,14,28,8,10,10,34,37,-3,34,1.21,30.7,45.5,-14.8,-0.53,13713,Irvin Cardona - 6,Gautier Larsonneur,1.321428571
29,Brighton,201819#,18.02631579,432,0.1124087591,0.5605839416,0.3270072993,17.18421053,8.210526316,eng ENG,17,38,9,9,20,35,60,-25,36,0.95,35.3,59.1,-23.8,-0.63,30426,Glenn Murray - 13,Mathew Ryan,1.578947368
30,Brighton,201920#,17.57894737,412,0.1332335329,0.5074850299,0.3592814371,16.63157895,7.868421053,eng ENG,15,38,9,14,15,39,54,-15,41,1.08,45.4,55,-9.5,-0.25,22369,Neal Maupay - 10,Mathew Ryan,1.421052632
31,Burnley,201819#,14.84210526,325,0.09574468085,0.5124113475,0.3918439716,18.42105263,7.473684211,eng ENG,15,38,11,7,20,45,68,-23,40,1.05,44.4,62.1,-17.7,-0.47,20534,Ashley Barnes - 12,Tom Heaton Joe Hart,1.789473684
32,Burnley,201920#,15.34210526,340,0.1372212693,0.4528301887,0.409948542,18.73684211,6.631578947,eng ENG,10,38,15,9,14,43,50,-7,54,1.42,47.4,49.8,-2.4,-0.06,15995,Chris Wood - 14,Nick Pope,1.315789474
34,Cagliari,201819#,13.71052632,327,0.1650671785,0.4798464491,0.3550863724,12.60526316,5.026315789,it ITA,15,38,10,11,17,36,54,-18,41,1.08,42.1,62.1,-20,-0.53,15396,Leonardo Pavoletti - 16,Alessio Cragno,1.421052632
35,Cagliari,201920#,16.21052632,393,0.1055194805,0.5227272727,0.3717532468,16.13157895,6.552631579,it ITA,14,38,11,12,15,52,56,-4,45,1.18,41.8,59,-17.2,-0.45,10728,João Pedro - 18,Robin Olsen,1.473684211
